iter	RMSE
0	120.1719786
1	107.7363947
2	98.33223718
3	91.94711848
4	85.3810967
5	82.63650305
6	80.06443368
7	77.73502782
8	74.42555957
9	72.83714386
10	68.69245882
11	67.01134917
12	66.29475113
13	63.69298768
14	61.22411378
15	59.2179504
16	56.28178317
17	55.80585214
18	54.50063069
19	52.76221364
20	51.52607371
21	50.03765312
22	49.50932533
23	46.89754355
24	45.97002714
25	44.96377292
26	44.68610993
27	43.37053884
28	42.97415267
29	42.7111604
30	42.19325536
31	40.90505992
32	39.95814534
33	37.94635447
34	36.60019875
35	35.93044406
36	35.41115245
37	34.40844268
38	34.09820048
39	32.92438924
40	32.23879105
41	31.79699514
42	30.79931773
43	30.45451354
44	30.26815845
45	30.10744738
46	29.96865539
47	29.656766
48	29.07554093
49	28.73344156
50	28.55408362
51	28.06054663
52	27.88072044
53	27.64643254
54	27.06078245
55	26.76586342
56	26.41626503
57	26.18523427
58	26.00671998
59	25.6933755
60	25.5974959
61	25.38916995
62	25.22216779
63	25.07300214
64	24.97504246
65	24.76689352
66	24.67634932
67	24.44583383
68	24.34495353
69	24.122887
70	23.9334043
71	23.82554776
72	23.72464698
73	23.4508297
74	23.27974067
75	23.20829278
76	23.08772815
77	22.89310595
78	22.79139884
79	22.66283015
80	22.56244007
81	22.40508492
82	22.31887316
83	22.25181732
84	22.17289807
85	22.08448657
86	22.00481851
87	21.85318443
88	21.74655198
89	21.66619668
90	21.4558362
91	21.37483494
92	21.27207044
93	21.18159856
94	21.04963577
95	20.97172072
96	20.89490274
97	20.81241443
98	20.75105642
99	20.67117956
