iter	Passed	Remaining
0	4	491
1	9	447
2	13	425
3	17	418
4	21	409
5	25	392
6	28	383
7	32	371
8	36	366
9	39	359
10	43	350
11	47	347
12	51	342
13	54	336
14	58	329
15	61	321
16	64	317
17	68	312
18	72	307
19	75	303
20	79	298
21	83	294
22	86	288
23	89	282
24	92	277
25	95	272
26	98	267
27	102	262
28	105	258
29	109	254
30	112	250
31	116	246
32	119	241
33	122	237
34	125	233
35	129	229
36	132	225
37	135	221
38	138	217
39	142	213
40	145	209
41	149	206
42	152	202
43	156	198
44	159	194
45	162	191
46	166	187
47	169	184
48	173	180
49	176	176
50	179	172
51	183	169
52	186	165
53	190	161
54	193	158
55	197	154
56	200	151
57	203	147
58	207	143
59	210	140
60	213	136
61	217	133
62	220	129
63	224	126
64	227	122
65	230	118
66	234	115
67	237	111
68	240	108
69	244	104
70	247	101
71	251	97
72	254	94
73	258	90
74	261	87
75	265	83
76	268	80
77	272	76
78	275	73
79	278	69
80	282	66
81	285	62
82	289	59
83	292	55
84	295	52
85	299	48
86	302	45
87	306	41
88	310	38
89	313	34
90	317	31
91	320	27
92	324	24
93	327	20
94	331	17
95	334	13
96	337	10
97	341	6
98	344	3
99	348	0
